condition,sentence,repeat,task_success,struct_valid,lint_errors,attempts_used,state_count,gen_latency_s,gen_input_tokens,gen_output_tokens,authoring_minutes,run_latency_s
planner,"go to saucedemo.com, log in with username standard_user and password secret_sauce, add the Sauce Labs Backpack and the Sauce Labs Bike Light to the cart, open the shopping cart, click checkout, enter first name Test, last name User, postal code 12345, continue, and then finish the order",0,False,True,0,1,7,6.329,1186,1544,0.0,1998.7971804141998
planner+heal,"go to saucedemo.com, log in with username standard_user and password secret_sauce, add the Sauce Labs Backpack and the Sauce Labs Bike Light to the cart, open the shopping cart, click checkout, enter first name Test, last name User, postal code 12345, continue, and then finish the order",0,False,True,0,3,7,41.402,4270,9162,0.0,76.77405595779419
planner,"go to saucedemo.com, log in with username standard_user and password secret_sauce, add the Sauce Labs Backpack and the Sauce Labs Bike Light to the cart, open the shopping cart, click checkout, enter first name Test, last name User, postal code 12345, continue, and then finish the order",1,False,True,0,1,7,5.932,1186,1427,0.0,62.01465082168579
planner+heal,"go to saucedemo.com, log in with username standard_user and password secret_sauce, add the Sauce Labs Backpack and the Sauce Labs Bike Light to the cart, open the shopping cart, click checkout, enter first name Test, last name User, postal code 12345, continue, and then finish the order",1,False,True,0,3,7,38.929,4287,8591,0.0,65.24986171722412
baseline,"go to the-internet.herokuapp.com/login, log in with username tomsmith and password SuperSecretPassword!, click Logout, then go to the-internet.herokuapp.com/dynamic_controls, click the Enable button, wait for the input field to become enabled, and type hello into it",0,False,True,0,13,6,0.0,0,0,72.7,357.9638338088989
planner,"go to the-internet.herokuapp.com/login, log in with username tomsmith and password SuperSecretPassword!, click Logout, then go to the-internet.herokuapp.com/dynamic_controls, click the Enable button, wait for the input field to become enabled, and type hello into it",0,False,True,0,1,8,8.746,1178,2042,0.0,67.02476024627686
planner+heal,"go to the-internet.herokuapp.com/login, log in with username tomsmith and password SuperSecretPassword!, click Logout, then go to the-internet.herokuapp.com/dynamic_controls, click the Enable button, wait for the input field to become enabled, and type hello into it",0,False,True,0,3,8,49.441,4471,10835,0.0,76.84162878990173
baseline,"go to the-internet.herokuapp.com/login, log in with username tomsmith and password SuperSecretPassword!, click Logout, then go to the-internet.herokuapp.com/dynamic_controls, click the Enable button, wait for the input field to become enabled, and type hello into it",1,False,True,0,13,6,0.0,0,0,72.7,77.14145231246948
planner,"go to the-internet.herokuapp.com/login, log in with username tomsmith and password SuperSecretPassword!, click Logout, then go to the-internet.herokuapp.com/dynamic_controls, click the Enable button, wait for the input field to become enabled, and type hello into it",1,False,True,0,1,8,9.367,1178,2383,0.0,86.99650859832764
planner+heal,"go to the-internet.herokuapp.com/login, log in with username tomsmith and password SuperSecretPassword!, click Logout, then go to the-internet.herokuapp.com/dynamic_controls, click the Enable button, wait for the input field to become enabled, and type hello into it",1,False,False,1,3,7,64.774,5863,14907,0.0,292.5490596294403
