condition,sentence,repeat,struct_valid,task_success,run_latency_s,state_count,trace_path
stock,"go to saucedemo.com, log in with username standard_user and password secret_sauce, add the Sauce Labs Backpack and the Sauce Labs Bike Light to the cart, open the shopping cart, click checkout, enter first name Test, last name User, postal code 12345, continue, and then finish the order",0,True,True,218.88393020629883,7,
human,"go to saucedemo.com, log in with username standard_user and password secret_sauce, add the Sauce Labs Backpack and the Sauce Labs Bike Light to the cart, open the shopping cart, click checkout, enter first name Test, last name User, postal code 12345, continue, and then finish the order",0,True,False,1128.7689125537872,7,/out/results2/exp8/traces/human_rep0_75712487.jsonl
human,"go to saucedemo.com, log in with username standard_user and password secret_sauce, add the Sauce Labs Backpack and the Sauce Labs Bike Light to the cart, open the shopping cart, click checkout, enter first name Test, last name User, postal code 12345, continue, and then finish the order",1,True,False,761.2978718280792,7,
stock,"go to saucedemo.com, log in with username standard_user and password secret_sauce, add the Sauce Labs Backpack and the Sauce Labs Bike Light to the cart, open the shopping cart, click checkout, enter first name Test, last name User, postal code 12345, continue, and then finish the order",1,True,True,259.62999391555786,7,
stock,"go to saucedemo.com, log in with username standard_user and password secret_sauce, sort the products by price from low to high, add the two cheapest products to the cart, open the cart, remove one of them, and confirm exactly one item remains",0,True,False,61.774986743927,7,
human,"go to saucedemo.com, log in with username standard_user and password secret_sauce, sort the products by price from low to high, add the two cheapest products to the cart, open the cart, remove one of them, and confirm exactly one item remains",0,True,True,86.59490418434143,7,
human,"go to saucedemo.com, log in with username standard_user and password secret_sauce, sort the products by price from low to high, add the two cheapest products to the cart, open the cart, remove one of them, and confirm exactly one item remains",1,True,False,60.7259464263916,7,
stock,"go to saucedemo.com, log in with username standard_user and password secret_sauce, sort the products by price from low to high, add the two cheapest products to the cart, open the cart, remove one of them, and confirm exactly one item remains",1,True,False,63.770299196243286,7,
stock,"go to the-internet.herokuapp.com/login, log in with username tomsmith and password SuperSecretPassword!, click Logout, then go to the-internet.herokuapp.com/dynamic_controls, click the Enable button, wait for the input field to become enabled, and type hello into it",0,True,False,176.94532918930054,8,
human,"go to the-internet.herokuapp.com/login, log in with username tomsmith and password SuperSecretPassword!, click Logout, then go to the-internet.herokuapp.com/dynamic_controls, click the Enable button, wait for the input field to become enabled, and type hello into it",0,True,False,59.36247754096985,8,
human,"go to the-internet.herokuapp.com/login, log in with username tomsmith and password SuperSecretPassword!, click Logout, then go to the-internet.herokuapp.com/dynamic_controls, click the Enable button, wait for the input field to become enabled, and type hello into it",1,True,False,436.9700675010681,8,
stock,"go to the-internet.herokuapp.com/login, log in with username tomsmith and password SuperSecretPassword!, click Logout, then go to the-internet.herokuapp.com/dynamic_controls, click the Enable button, wait for the input field to become enabled, and type hello into it",1,True,False,11.60007929801941,8,
stock,"go to automationexercise.com, search for 'dress', add the first two products in the results to your cart, view the cart, and confirm both products are listed",0,True,False,67.07088470458984,4,
human,"go to automationexercise.com, search for 'dress', add the first two products in the results to your cart, view the cart, and confirm both products are listed",0,True,False,69.84466004371643,4,
human,"go to automationexercise.com, search for 'dress', add the first two products in the results to your cart, view the cart, and confirm both products are listed",1,True,False,265.4848680496216,4,
stock,"go to automationexercise.com, search for 'dress', add the first two products in the results to your cart, view the cart, and confirm both products are listed",1,True,False,62.91978669166565,4,
stock,"go to saucedemo.com, log in with username standard_user and password secret_sauce, open the Sauce Labs Fleece Jacket product page, add it to the cart from that page, go back to the products list, open the shopping cart, click checkout, and fill in first name Test, last name User, postal code 12345",0,False,False,64.44315218925476,8,
human,"go to saucedemo.com, log in with username standard_user and password secret_sauce, open the Sauce Labs Fleece Jacket product page, add it to the cart from that page, go back to the products list, open the shopping cart, click checkout, and fill in first name Test, last name User, postal code 12345",0,False,False,64.34510850906372,8,
human,"go to saucedemo.com, log in with username standard_user and password secret_sauce, open the Sauce Labs Fleece Jacket product page, add it to the cart from that page, go back to the products list, open the shopping cart, click checkout, and fill in first name Test, last name User, postal code 12345",1,False,False,921.7906126976013,8,
stock,"go to saucedemo.com, log in with username standard_user and password secret_sauce, open the Sauce Labs Fleece Jacket product page, add it to the cart from that page, go back to the products list, open the shopping cart, click checkout, and fill in first name Test, last name User, postal code 12345",1,False,False,62.82342886924744,8,
